------------------------------------------------query1-----------------------------------------------

 adamdangelo     | garrytan
 longreads       | codinghorror
 mkapor          | bijan
 JVascellaro     | tristanwalker
 paulg           | ev
 dianelynnhorton | gvwilson
 spolsky         | paulg
 btaylor         | vkhosla
 mmccue          | vkhosla
 Borthwick       | RonConway
 peterfenton     | HowardStern
 adambain        | pschiller
 biz             | SteveMartinToGo
 jaygoldman      | pschiller
 parislemon      | stevenjayl
 rabois          | eladgil
 paultoo         | davemorin
 edyson          | Bill_Gross
 markpinc        | SteveCase
 katiecouric     | SteveMartinToGo
 dickc           | avibryant
 mkapor          | cdixon
 karenreid       | jharjono
 iamwill         | dickc
 naval           | paultoo
 johnbattelle    | paultoo
 bhorowitz       | peterfenton
 bingfish        | karaswisher
 markpinc        | lessig
 amac            | quixotic
 Bill_Gross      | davemorin
 mike_conley     | swcarpentry
 McAndrew        | finkd
 karenreid       | jeffbalogh
 mike_conley     | SteveMartinToGo
 ericries        | davidhornik
 biz             | instagram
 markpinc        | mcuban
 rabois          | paulg
 bijan           | davemorin
 KatieS          | HowardStern
 adamlashinsky   | JasonHirschhorn
 paultoo         | Benchmark
 sacca           | HowardStern
 ev              | SteveMartinToGo
 davidhornik     | shervin
 ericschmidt     | markoff
 dickc           | karaswisher
 karaswisher     | alexia
 bingfish        | m2jr
 cdixon          | shawnfanning
 JasonHirschhorn | shawnfanning
 karaswisher     | stevenjayl
 bingfish        | jack
 karenreid       | mike_conley
 aran_donohue    | spolsky
 nikesharora     | Oprah
 rabois          | waltmossberg
 pchelinn        | karenreid
 gideonyu        | jack
 bgarlinghouse   | ariannahuff
 jeff            | vkhosla
 joshk           | eladgil
 aran_donohue    | gvwilson
 lmds            | HeatherLeson
 marissamayer    | dickc
 bwinton         | instagram
 quixotic        | zephoria
 asmartbear      | davemcclure
 pgries          | isaacezer
 peterfenton     | SteveMartinToGo
 johndoerr       | quixotic
 msuster         | geoff_yang
 wolever         | adinscannell
 JBoorstin       | ericschmidt
 Harjeet         | mkapor
 codinghorror    | timoreilly
 joshu           | ericschmidt
 asenkut         | garrytan
 markpinc        | jimmyfallon
 TEDchris        | pierre
 mattcohler      | ev
 flaps           | irvingreid
 dickc           | RonConway
 yorchopolis     | algore
 ginab           | QueenRania
 cjmuise         | hyfen
 jddimarco       | cssu
 geoff_yang      | shawnfanning
 om              | pschiller
 VevWong         | mike_conley
 kevinrose       | erickschonfeld
 pud             | alexia
 irvingreid      | spolsky
 timoreilly      | aplusk
 Borthwick       | m2jr
 cjmuise         | bwinton
 ycombinator     | Dropbox
 johndoerr       | gideonyu
 jddimarco       | gvanrossum
 m2jr            | alexia
 adamdangelo     | alexia
 mlevchin        | cdixon
 mmccue          | andrewrsorkin
 ev              | HowardStern
 fredwilson      | nicknotned
 garrytan        | alexia
 joshu           | nickbilton
 sacca           | SteveMartinToGo
 mattcohler      | Caterina
 stop            | bijan
 mkapor          | RonConwayFacts
 phyllers        | lmds
 KatieS          | ioerror
 hblodget        | cshirky
 Borthwick       | shawnfanning
 mattcohler      | sacca
 lmds            | spolsky
 quixotic        | m2jr
 garrytan        | stevenjayl
 quixotic        | jack
 markpinc        | Joi
 QueenRania      | biz
 bgarlinghouse   | kevinrose
 johndoerr       | dickc
 Gladwell        | nytimes
 johndoerr       | BradStone
 satishd         | rabois
 jeff            | BillGates
 bingfish        | jeff
 pgries          | neilernst
 alexia          | pkedrosky
 fosslc          | peterfenton
 marissamayer    | joshu
 rtulk           | jaygoldman
 davemcclure     | dannyrimer
 jhuber          | bingfish
 gvwilson        | mike_conley
 erickschonfeld  | bgarlinghouse
 joshu           | ycombinator
 paulg           | cdixon
 Harjeet         | paultoo
 aplusk          | marissamayer
 marissamayer    | Gladwell
 SarahKSilverman | aplusk
 joelcrocker     | pgries
 bgurley         | erhanerdogan
 dens            | andrewmason
 amac            | adambain
 ev              | stevebmicrosoft
 wolever         | swcarpentry
 bgurley         | jimmyfallon
 cjmuise         | wolever
 joshu           | avibryant
 cjmuise         | ioerror
 bgarlinghouse   | hblodget
 naval           | ev
 adamlashinsky   | pierre
 kn0thing        | katiecouric
 nickbilton      | kevinrose
 andrewtrusty    | codinghorror
 mmccue          | adamdangelo
 bhorowitz       | paulg
 edyson          | KatieS
 jharjono        | bwinton
 ericschmidt     | ariannahuff
 peterfenton     | johnbattelle
 asenkut         | BillGates
 mattcohler      | instagram
 McAndrew        | paulg
 Caterina        | johnbattelle
 quixotic        | Chad_Hurley
 edyson          | Caterina
 kevinrose       | Borthwick
 cjmuise         | jobias
 ericries        | codinghorror
 ccheever        | paulg
 adamlashinsky   | JVascellaro
 McAndrew        | sarahcuda
 nikesharora     | sacca
 joshu           | parislemon
 geoff_yang      | Chad_Hurley
 alexia          | BradStone
 bhorowitz       | waltmossberg
 satishd         | bhorowitz
 peterfenton     | KatieS
 ericries        | longreads
 spolsky         | kn0thing
 karenreid       | lance_
 hblodget        | om
 RonConwayFacts  | mcuban
 Caterina        | mkapor
 BradStone       | ericschmidt
 adinscannell    | naval
 tristanwalker   | alexia
 erickschonfeld  | RonConway
 marissamayer    | om
 mlevchin        | pierre
 gideonyu        | nickbilton
 drscan          | karenreid
 hyfen           | adinscannell
 stop            | Scobleizer
 aplusk          | brianp
 karaswisher     | hblodget
 rabois          | msuster
 markpinc        | algore
 hblodget        | adambain
 McAndrew        | mattcohler
 carr2n          | longreads
 johndoerr       | om
 asenkut         | vkhosla
 bhorowitz       | mattcohler
 satishd         | kevin
 codinghorror    | fredwilson
 gvwilson        | shawnkono
 ccheever        | drewhouston
 karaswisher     | markoff
 johndoerr       | markpinc
 gideonyu        | Chad_Hurley
 mmccue          | davidhornik
 sarahcuda       | bgurley
 jeff            | shervin
 peterpham       | mattcutts
 btaylor         | asenkut
 aran_donohue    | ycombinator
 bingfish        | joshk
 davemorin       | parislemon
 garrytan        | codinghorror
 jharjono        | adamgoucher
 drewhouston     | cdixon
 ericschmidt     | carr2n
 aran_donohue    | avibryant
 gideonyu        | rabois
 johndoerr       | biz
 karaswisher     | vkhosla
 adamlashinsky   | mkapor
 cdixon          | SteveCase
 geoff_yang      | marissamayer
 adamdangelo     | BillGates
 bijan           | SteveMartinToGo
 bgurley         | ericschmidt
 joelcrocker     | bwinton
 m2jr            | BillGates
 adambain        | NickKristof
 mmccue          | stevenjayl
 Dropbox         | drewhouston
 markpinc        | shawnfanning
 btaylor         | Dropbox
 aran_donohue    | neilernst
 mlevchin        | Caterina
 marissamayer    | biz
 ariannahuff     | cshirky
 eladgil         | Bill_Gross
 BradStone       | mcuban
 btaylor         | jhuber
 adamlashinsky   | mlevchin
 erickschonfeld  | kevin
 pierre          | NickKristof
 mkapor          | AlecJRoss
 asmartbear      | timoreilly
 tristanwalker   | shervin
 pkedrosky       | erhanerdogan
 sarahcuda       | SteveMartinToGo
 vkhosla         | stevenjayl
 om              | pud
 quixotic        | elatable
 quixotic        | TechCrunch
 asenkut         | johndoerr
 Caterina        | peterpham
 bingfish        | SteveCase
 aplusk          | tristanwalker
 ericries        | johndoerr
 spolsky         | joshu
 geoff_yang      | jimmyfallon
 dickc           | brianp
 JBoorstin       | dens
 btaylor         | ccheever
 mmccue          | ccheever
 phyllers        | jobias
 mattcohler      | bgurley
 mike_conley     | adamgoucher
 irvingreid      | shazow
 paultoo         | Oprah
 jddimarco       | torontoist
 mkapor          | sacca
 AlecJRoss       | KatieS
 elatable        | nikesharora
 UCOSP           | lhawthorn
 MarcBodnick     | hblodget
 McAndrew        | dickc
 rabois          | om
 bingfish        | Joi
 edyson          | pierre
 dickc           | jimmyfallon
 parislemon      | andrewrsorkin
 bgarlinghouse   | vkhosla
 mkapor          | naval
 geoff_yang      | mcuban
 lizblankenship  | hyfen
 dannyrimer      | joshu
 bingfish        | marissamayer
 fredwilson      | BradStone
 jeff            | QueenRania
 peterfenton     | pierre
 m2jr            | vkhosla
 johnbattelle    | Benchmark
 gvwilson        | irvingreid
 adamlashinsky   | ev
 pgries          | plagal
 quixotic        | rabois
 nikesharora     | pierre
 bijan           | HowardStern
 naval           | pierre
 bhorowitz       | dickc
 BradStone       | marissamayer
 kevinrose       | paulg
 amac            | peterfenton
 bhorowitz       | quixotic
 lizblankenship  | bwinton
